Country,Air_pollution_level,CO2_Emissions,CO2_Emissions%,recycling_rate,IDH
Austria,43.15,61.223713116362,2.18,62.5,0.926
Belgium,34.62,89.739264639159,3.2,52.7,0.942
Bulgaria,41.21,50.068130944148,1.79,28.2,0.799
Croatia,42.88,17.442486199403,0.62,34.2,0.878
Cyprus,46.62,7.1853095339034,0.26,14.8,0.907
Denmark,40.14,28.141527649024,1.0,52.3,0.952
Estonia,38.43,12.58815636939,0.45,33.2,0.899
Finland,23.89,36.15368242824,1.29,39.0,0.942
France,48.02,310.45793477497,11.07,41.8,0.91
Germany,38.37,659.50184708527,23.51,69.1,0.95
Greece,53.64,54.932297956222,1.96,17.5,0.893
Hungary,46.24,47.601211645136,1.7,32.8,0.851
Iceland,6.41,3.2501151540154,0.12,26.4,0.959
Ireland,25.32,34.73362700353,1.24,40.8,0.95
Italy,45.33,332.76576229448,11.86,51.9,0.906
Latvia,38.53,6.657923880896,0.24,44.1,0.879
Lithuania,38.72,13.150136219879,0.47,48.4,0.879
Luxembourg,23.18,7.2629599891932,0.26,54.6,0.927
Malta,41.73,1.759531583994,0.06,12.2,0.915
Netherlands,45.45,132.97072700347,4.74,57.5,0.946
Norway,19.16,44.555942064051,1.59,41.2,0.966
Poland,36.87,317.29186581831,11.31,40.9,0.881
Portugal,46.79,39.498675757358,1.41,30.4,0.874
Romania,46.74,75.981790843776,2.71,12.1,0.827
Slovakia,33.91,35.5535618804,1.27,49.5,0.855
Slovenia,41.25,13.131904554991,0.47,62.6,0.926
Spain,45.25,235.47115122154,8.4,38.6,0.911
Sweden,21.65,36.208576415145,1.29,39.7,0.952
