Country,Year,Air_pollution_level,CO2_Emissions,CO2_Emissions%,Total_waste,Total_waste%
Austria,2014,47.61,65.929043300621,2.14,238793915.0,2.42
Austria,2016,46.57,67.782517711802,2.16,261035433.0,2.6
Austria,2018,49.53,67.18684314843,2.17,279004198.0,2.69
Austria,2020,41.67,62.599758257043,2.33,290804238.0,3.03
Belgium,2014,42.59,97.724460431045,3.18,285692548.0,2.89
Belgium,2016,39.75,101.26096174159,3.22,316732376.0,3.16
Belgium,2018,45.17,100.09811768838,3.23,339366400.0,3.27
Belgium,2020,38.43,92.267020116023,3.43,343494285.0,3.58
Bulgaria,2014,52.12,47.314847928573,1.54,728013162.0,7.36
Bulgaria,2016,27.13,47.122418111746,1.5,492069736.0,4.91
Bulgaria,2018,49.46,46.233112480348,1.49,529611350.0,5.1
Bulgaria,2020,45.54,39.490882670666,1.47,482219603.0,5.02
Croatia,2014,71.61,17.674762781443,0.57,16755983.0,0.17
Croatia,2016,54.96,18.272571513937,0.58,23439234.0,0.23
Croatia,2018,60.36,17.764369391771,0.57,24560648.0,0.24
Croatia,2020,47.85,17.246024469602,0.64,26875667.0,0.28
Cyprus,2014,39.18,6.8161161668171,0.22,9210425.0,0.09
Cyprus,2016,36.22,7.2206918443075,0.23,11556449.0,0.12
Cyprus,2018,48.06,7.2127251803848,0.23,10177693.0,0.1
Cyprus,2020,44.85,6.8014090183176,0.25,9610932.0,0.1
Czechia,2014,48.28,107.23282184939,3.49,109315533.0,1.11
Czechia,2016,42.19,109.80823019382,3.49,119365238.0,1.19
Czechia,2018,48.7,109.33893848782,3.53,173015983.0,1.67
Czechia,2020,35.0,94.391566702226,3.51,175216205.0,1.82
Denmark,2014,47.82,36.204293169278,1.18,89439180.0,0.9
Denmark,2016,40.76,35.706428073214,1.14,89072679.0,0.89
Denmark,2018,41.5,33.654437432177,1.09,91026570.0,0.88
Denmark,2020,36.35,27.796718320585,1.03,85766870.0,0.89
Estonia,2014,39.69,21.920755022137,0.71,97143556.0,0.98
Estonia,2016,38.89,19.979760746561,0.64,116298157.0,1.16
Estonia,2018,40.71,22.358837520039,0.72,103065537.0,0.99
Estonia,2020,36.2,11.480791075621,0.43,74165457.0,0.77
Finland,2014,34.01,49.437362081696,1.61,409079170.0,4.14
Finland,2016,29.03,48.803470771176,1.55,514322469.0,5.13
Finland,2018,29.82,47.434796103201,1.53,537089584.0,5.18
Finland,2020,23.68,39.46487693094,1.47,485682704.0,5.06
France,2014,52.65,328.08789180556,10.66,1385122629.0,14.01
France,2016,52.54,335.76783304551,10.68,1381704297.0,13.79
