Country,Year,Air_pollution_level,CO2_Emissions,recycling_rate
Austria,2013,54.52,69.612679815409,57.7
Austria,2014,47.61,65.929043300621,56.3
Austria,2015,53.12,67.369130492281,56.9
Austria,2016,46.57,67.782517711802,57.6
Austria,2017,49.71,70.106334726133,57.8
Austria,2018,49.53,67.18684314843,57.7
Austria,2019,47.84,68.53324514785,58.2
Austria,2020,41.67,62.599758257043,62.3
Austria,2021,42.73,66.17532651512,62.5
Austria,2022,43.15,61.223713116362,57.65
Belgium,2013,22.83,104.42249718383,52.8
Belgium,2014,42.59,97.724460431045,53.8
Belgium,2015,45.38,102.37909181045,53.5
Belgium,2016,39.75,101.26096174159,53.5
Belgium,2017,43.14,99.700387505258,53.9
Belgium,2018,45.17,100.09811768838,54.4
Belgium,2019,40.55,99.882484109795,54.7
Belgium,2020,38.43,92.267020116023,51.4
Belgium,2021,34.03,96.2510060856,55.5
Belgium,2022,34.62,89.739264639159,52.7
Bulgaria,2013,52.46,44.450948180595,28.5
Bulgaria,2014,52.12,47.314847928573,23.1
Bulgaria,2015,53.07,49.854208926561,29.4
Bulgaria,2016,27.13,47.122418111746,31.8
Bulgaria,2017,49.77,49.279522944573,34.6
Bulgaria,2018,49.46,46.233112480348,31.5
Bulgaria,2019,45.89,44.573084594864,34.6
Bulgaria,2020,45.54,39.490882670666,35.2
Bulgaria,2021,44.01,45.785482415717,28.2
Bulgaria,2022,41.21,50.068130944148,21.55
Croatia,2013,72.19,18.379104531834,14.9
Croatia,2014,71.61,17.674762781443,16.4
Croatia,2015,56.98,18.022000321862,18.0
Croatia,2016,54.96,18.272571513937,21.0
Croatia,2017,57.97,18.795394197654,23.6
Croatia,2018,60.36,17.764369391771,25.3
Croatia,2019,53.3,17.963701599239,30.2
Croatia,2020,47.85,17.246024469602,29.5
Croatia,2021,47.5,17.720134016093,31.4
Croatia,2022,42.88,17.442486199403,34.2
Cyprus,2013,41.31,6.4394867549361,13.9
Cyprus,2014,39.18,6.8161161668171,14.8
Cyprus,2015,40.92,6.8550271399051,16.7
Cyprus,2016,36.22,7.2206918443075,16.3
